Site,Alloclinus.holderi,Anisotremus.davidsonii,Atherinops.sp,Chromis.punctipinnis,Clinocottus.analis,Embiotoca.jacksoni,Embiotoca.lateralis,Girella.nigricans,Gymnothorax.mordax,Halichoeres.semicinctus,Hypsurus.caryi,Hypsypops.rubicundus,Lythrypnus.dalli,Lythrypnus.zebra,Medialuna.californiensis,Ophiodon.elongatus,Oxyjulis.californica,Oxylebius.pictus,Paralabrax.clathratus,Paralabrax.nebulifer,Rhacochilus.vacca,Rhinogobiops.nicholsii,Scorpaena.guttata,Sebastes.atrovirens,Sebastes.auriculatus,Sebastes.carnatus,Sebastes.chrysomelas,Sebastes.serriceps,Semicossyphus.pulcher
RB_R_3,0,0,0,3446.851235,0,388.6812675,0,0,0,2400.385255,0,2532.101725,1.922860546,0,464.2658433,0,0,0,1064.727157,1678.283571,751.5306716,29.62989351,0,0,0,0,0,0,875.2429887
RB_R_4,36.23494064,0,0,7.264008358,0,0,0,0,0,698.9262179,0,2214.608096,0.137347182,0,0,0,0,0,354.9956475,1243.561002,0,5.377324124,139.2262745,0,0,0,0,0,165.3332428
RB_R_5,0,0,0,38.13278113,0,0,0,0,0,0,0,662.4964186,0.412041546,0,0,0,0,0,774.8504662,1105.275917,0,5.377324124,0,0,0,0,0,0,215.4289554
RB_R_6,0,0,0,14.52801672,0,0,0,0,0,0,0,3077.038674,0.412041546,0,0,0,0,0,20.71654612,0,0,83.06897851,0,0,0,0,0,0,233.4331494
RB_R_7,0,0,0,0,0,0,0,137.7380058,0,308.82781,0,682.236649,0.824083091,0,73.45498467,0,0,0,264.2858265,538.3202887,0,10.75464825,139.2262745,0,0,0,0,0,120.0931019
RB_R_8,13.25624347,0,0,0,0,0,0,0,0,533.1927914,0,566.6061108,0.549388727,0.214138118,0,0,0,0,270.2362367,228.8031445,0,21.65708913,0,0,0,0,0,0,252.6766926
RB_R_9,0,0,0,116.2241337,0,0,0,0,0,312.7171724,0,397.5520597,0.412041546,0,73.45498467,0,0,0,76.42972968,0,0,5.377324124,0,0,0,0,0,0,361.1611684
Z_R_1,0,0,0,61.73754554,0.143101034,1279.977727,297.7078157,0,0,0,0,1446.908135,0,0,0,0,20.18744702,201.5373835,0,0,0,34.859425,0,27.52661276,0,364.9701244,0,158.654041,161.5255035
Z_R_2,2.957219581,0,0,1125.856041,99.42406044,184.4885444,457.5640191,0,0,0,0,264.0099673,0,0,0,0,91.18268624,115.6795862,0,0,0,142.0331803,0,74.75379967,0,158.654041,317.308082,290.2163247,190.3370912
Z_R_3,0,0,0,0,0,0,120.4918234,0,0,0,120.4918234,264.0099673,0,0,0,0,48.31420297,27.3137071,0,0,90.19314503,48.20955351,0,0,0,0,0,0,68.2786498
Z_R_4,0,0,0,2074.97535,0,0,165.588396,0,0,0,0,475.3971867,0,0,0,0,45.19584834,415.5605682,55.71318356,0,0,102.0920164,0,610.4078116,0,777.0177001,290.2163247,0,61.52559535
Z_R_5,0,0,0,2396.953095,0,0,0,0,0,0,252.6112432,0,0,0,0,0,1126.235639,262.4076983,0,0,0,197.3149119,0,0,0,233.4078407,0,0,259.3417312
Z_R_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.7450428,0,0,0,0,557.1405753,0,0,0,0,0,0,113.3400475
Z_R_7,0,0,0,4524.438992,0,0,0,0,0,0,0,3991.038541,0,0,0,0,477.4575769,27.3137071,0,0,0,72.31433026,0,1029.303015,0,0,0,290.2163247,272.9687462
Z_R_8,0,0,0,689.7091734,0,0,0,0,0,0,0,0,0,0,0,0,568.693847,60.87031476,41.43309223,0,0,545.8872846,0,523.6241654,0,260.9344534,480.6007864,0,695.7740409
Z_R_9,0,0,0,339.2631859,0,1164.724916,0,0,0,0,45.09657251,6402.760604,0,0,0,0,58.74710115,154.7552811,0,0,0,150.0059847,0,2041.751268,0,535.6540119,74.75379967,290.2163247,1648.798894
